Postcode,Town
1000,Brussel
1020,Laken
1030,Schaarbeek
1040,Etterbeek
1050,Elsene
1060,Sint-Gillis
1080,Sint-Jans-Molenbeek
1081,Koekelberg
1082,Sint-Agatha-Berchem
1083,Ganshoren
1090,Jette
1120,Neder-Over-Heembeek
1130,Haren
1140,Evere
1150,Sint-Pieters-Woluwe
1160,Oudergem
1170,Watermaal-Bosvoorde
1180,Ukkel
1190,Vorst
1200,Sint-Lambrechts-Woluwe
1210,Sint-Joost-ten-Node
1300,Wavre
1300,Limal
1301,Bierges
1310,La Hulpe
1315,Incourt
1315,Opprebais
1315,Piétrebais
1315,Glimes
1315,Roux-Miroir
1320,Beauvechain
1320,Hamme-Mille
1320,Tourinnes-la-Grosse
1320,Nodebais
1320,L’Ecluse
1325,Chaumont-Gistoux
1325,Corroy-le-Grand
1325,Longueville
1325,Bonlez
1325,Dion-Valmont
1330,Rixensart
1332,Genval
1340,Ottignies-Louvain-la-Neuve
1340,Ottignies
1341,Céroux-Mousty
1342,Limelette
1348,Louvain-la-Neuve
1350,Orp-Jauche
1350,Jauche
1350,Orp-le-Grand
1350,Jandrain-Jandrenouille
1350,Noduwez
1350,Marilles
1350,Folx-les-Caves
1350,Énines
1351,Rosières
1357,Hélécine
1357,Neerheylissem
1357,Opheylissem
1357,Linsmeau
1360,Perwez
1360,Thorembais-Saint-Trond
1360,Malèves-Sainte-Marie-Wastines
1360,Thorembais-les-Béguines
1360,Orbais
1367,Ramillies
1367,Huppaye
1367,Geest-Gérompont-Petit-Rosière
1367,Ramillies-Offus
1367,Autre-Église
1367,Mont-Saint-André
1367,Grand-Rosière-Hottomont
1367,Bomal
1367,Gérompont
1370,Jodoigne
1370,Zétrud-Lumay
1370,Mélin
1370,Piétrain
1370,Lathuy
1370,Saint-Jean-Geest
1370,Saint-Remy-Geest
1370,Dongelberg
1370,Jodoigne-Souveraine
1370,Jauchelette
1380,Lasne
1380,Ohain
1380,Lasne-Chapelle-Saint-Lambert
1380,Plancenoit
1380,Couture-Saint-Germain
1380,Maransart
1390,Grez-Doiceau
1390,Bossut-Gottechain
1390,Nethen
1390,Archennes
1390,Biez
1400,Nivelles
1400,Monstreux
1401,Baulers
1402,Thines
1404,Bornival
1410,Waterloo
1420,Braine-l’Alleud
1421,Ophain-Bois-Seigneur-Isaac
1428,Lillois-Witterzée
1430,Rebecq
1430,Rebecq-Rognon
1430,Quenast
1430,Bierghes
1435,Mont-Saint-Guibert
1435,Hévillers
1435,Corbais
1440,Braine-le-Château
1440,Wauthier-Braine
1450,Chastre
1450,Cortil-Noirmont
1450,Gentinnes
1450,Saint-Géry
1457,Walhain
1457,Walhain-Saint-Paul
1457,Tourinnes-Saint-Lambert
1457,Nil-Saint-Vincent-Saint-Martin
1460,Ittre
1460,Virginal-Samme
1461,Haut-Ittre
1470,Genappe
1470,Baisy-Thy
1470,Bousval
1471,Loupoigne
1472,Vieux-Genappe
1473,Glabais
1474,Ways
1476,Houtain-le-Val
1480,Tubize
1480,Saintes
1480,Clabecq
1480,Oisquercq
1490,Court-Saint-Étienne
1495,Villers-la-Ville
1495,Marbais
1495,Sart-Dames-Avelines
1495,Tilly
1495,Mellery
1500,Halle
1501,Buizingen
1502,Lembeek
1540,Herne
1540,Herfelingen
1541,Sint-Pieters-Kapelle
1547,Bever
1560,Hoeilaart
1570,Galmaarden
1570,Tollembeek
1570,Vollezele
1600,Sint-Pieters-Leeuw
1600,Oudenaken
1600,Sint-Laureins-Berchem
1601,Ruisbroek
1602,Vlezenbeek
1620,Drogenbos
1630,Linkebeek
1640,Sint-Genesius-Rode
1650,Beersel
1651,Lot
1652,Alsemberg
1653,Dworp
1654,Huizingen
1670,Pepingen
1670,Heikruis
1670,Bogaarden
1671,Elingen
1673,Beert
1674,Bellingen
1700,Dilbeek
1700,Sint-Martens-Bodegem
1700,Sint-Ulriks-Kapelle
1701,Itterbeek
1702,Groot-Bijgaarden
1703,Schepdaal
1730,Asse
1730,Mollem
1730,Kobbegem
1730,Bekkerzeel
1731,Zellik
1731,Relegem
1740,Ternat
1741,Wambeek
1742,Sint-Katherina-Lombeek
1745,Opwijk
1745,Mazenzele
1750,Lennik
1750,Sint-Kwintens-Lennik
1750,Sint-Martens-Lennik
1750,Gaasbeek
1755,Gooik
1755,Kester
1755,Leerbeek
1755,Oetingen
1760,Roosdaal
1760,Pamel
1760,Onze-Lieve-Vrouw-Lombeek
1760,Strijtem
1761,Borchtlombeek
1770,Liedekerke
1780,Wemmel
1785,Merchtem
1785,Brussegem
1785,Hamme
1790,Affligem
1790,Essene
1790,Hekelgem
1790,Teralfene
1800,Vilvoorde
1800,Peutie
1820,Steenokkerzeel
1820,Perk
1820,Melsbroek
1830,Machelen
1831,Diegem
1840,Londerzeel
1840,Malderen
1840,Steenhuffel
1850,Grimbergen
1851,Humbeek
1852,Beigem
1853,Strombeek-Bever
1860,Meise
1861,Wolvertem
1880,Kapelle-op-den-Bos
1880,Nieuwenrode
1880,Ramsdonk
1910,Kampenhout
1910,Nederokkerzeel
1910,Berg
1910,Buken
1930,Zaventem
1930,Nossegem
1932,Sint-Stevens-Woluwe
1933,Sterrebeek
1950,Kraainem
1970,Wezembeek-Oppem
1980,Zemst
1980,Eppegem
1981,Hofstade
1982,Elewijt
1982,Weerde
2000,Antwerpen
2040,Berendrecht
2040,Zandvliet
2040,Lillo
2070,Zwijndrecht
2070,Burcht
2100,Deurne
2110,Wijnegem
2140,Borgerhout
2150,Borsbeek
2160,Wommelgem
2170,Merksem
2180,Ekeren
2200,Herentals
2200,Noorderwijk
2200,Morkhoven
2220,Heist-op-den-Berg
2220,Hallaar
2221,Booischot
2222,Itegem
2222,Wiekevorst
2223,Schriek
2230,Herselt
2230,Ramsel
2235,Hulshout
2235,Houtvenne
2235,Westmeerbeek
2240,Zandhoven
2240,Massenhoven
2240,Viersel
2242,Pulderbos
2243,Pulle
2250,Olen
2260,Westerlo
2260,Tongerlo
2260,Oevel
2260,Zoerle-Parwijs
2270,Herenthout
2275,Lille
2275,Gierle
2275,Wechelderzande
2275,Poederlee
2280,Grobbendonk
2288,Bouwel
2290,Vorselaar
2300,Turnhout
2310,Rijkevorsel
2320,Hoogstraten
2321,Meer
2322,Minderhout
2323,Wortel
2328,Meerle
2330,Merksplas
2340,Beerse
2340,Vlimmeren
2350,Vosselaar
2360,Oud-Turnhout
2370,Arendonk
2380,Ravels
2381,Weelde
2382,Poppel
2387,Baarle-Hertog
2390,Malle
2390,Oostmalle
2390,Westmalle
2400,Mol
2430,Laakdal
2430,Vorst
2430,Eindhout
2431,Veerle
2431,Varendonk
2440,Geel
2450,Meerhout
2460,Kasterlee
2460,Lichtaart
2460,Tielen
2470,Retie
2480,Dessel
2490,Balen
2491,Olmen
2500,Lier
2500,Koningshooikt
2520,Ranst
2520,Oelegem
2520,Broechem
2520,Emblem
2530,Boechout
2531,Vremde
2540,Hove
2547,Lint
2550,Kontich
2550,Waarloos
2560,Nijlen
2560,Kessel
2560,Bevel
2570,Duffel
2580,Putte
2580,Beerzel
2590,Berlaar
2590,Gestel
2600,Berchem
2610,Wilrijk
2620,Hemiksem
2627,Schelle
2630,Aartselaar
2640,Mortsel
2650,Edegem
2660,Hoboken
2800,Mechelen
2800,Walem
2801,Heffen
2811,Hombeek
2811,Leest
2812,Muizen
2820,Bonheiden
2820,Rijmenam
2830,Willebroek
2830,Blaasveld
2830,Tisselt
2830,Heindonk
2840,Rumst
2840,Reet
2840,Terhagen
2845,Niel
2850,Boom
2860,Sint-Katelijne-Waver
2861,Onze-Lieve-Vrouw-Waver
2870,Puurs-Sint-Amands
2870,Puurs
2870,Ruisbroek
2870,Breendonk
2870,Liezele
2880,Bornem
2880,Hingene
2880,Mariekerke
2880,Weert
2890,Sint-Amands
2890,Oppuurs
2890,Lippelo
2900,Schoten
2910,Essen
2920,Kalmthout
2930,Brasschaat
2940,Stabroek
2940,Hoevenen
2950,Kapellen
2960,Brecht
2960,Sint-Job-in-’t-Goor
2960,Sint-Lenaarts
2970,Schilde
2970,s-Gravenwezel
2980,Zoersel
2980,Halle
2990,Wuustwezel
2990,Loenhout
3000,Leuven
3001,Heverlee
3010,Kessel-Lo
3012,Wilsele
3018,Wijgmaal
3020,Herent
3020,Veltem-Beisem
3020,Winksele
3040,Huldenberg
3040,Neerijse
3040,Ottenburg
3040,Sint-Agatha-Rode
3040,Loonbeek
3050,Oud-Heverlee
3051,Sint-Joris-Weert
3052,Blanden
3053,Haasrode
3054,Vaalbeek
3060,Bertem
3060,Korbeek-Dijle
3061,Leefdaal
3070,Kortenberg
3071,Erps-Kwerps
3078,Everberg
3078,Meerbeek
3080,Tervuren
3080,Vossem
3080,Duisburg
3090,Overijse
3110,Rotselaar
3111,Wezemaal
3118,Werchter
3120,Tremelo
3128,Baal
3130,Begijnendijk
3130,Betekom
3140,Keerbergen
3150,Haacht
3150,Tildonk
3150,Wespelaar
3190,Boortmeerbeek
3191,Hever
3200,Aarschot
3200,Gelrode
3201,Langdorp
3202,Rillaar
3210,Lubbeek
3210,Linden
3211,Binkom
3212,Pellenberg
3220,Holsbeek
3220,Kortrijk-Dutsel
3220,Sint-Pieters-Rode
3221,Nieuwrode
3270,Scherpenheuvel-Zichem
3270,Scherpenheuvel
3271,Zichem
3271,Averbode
3272,Testelt
3272,Messelbroek
3290,Diest
3290,Schaffen
3290,Deurne
3290,Webbekom
3293,Kaggevinne
3294,Molenstede
3300,Tienen
3300,Hakendover
3300,Bost
3300,Goetsenhoven
3300,Sint-Margriete-Houtem
3300,Oorbeek
3300,Vissenaken
3300,Kumtich
3300,Oplinter
3320,Hoegaarden
3320,Meldert
3321,Outgaarden
3350,Linter
3350,Drieslinter
3350,Neerlinter
3350,Wommersom
3350,Orsmaal-Gussenhoven
3350,Overhespen
3350,Melkwezer
3350,Neerhespen
3360,Bierbeek
3360,Korbeek-Lo
3360,Lovenjoel
3360,Opvelp
3370,Boutersem
3370,Roosbeek
3370,Kerkom
3370,Vertrijk
3370,Neervelp
3370,Willebringen
3380,Glabbeek
3380,Bunsbeek
3380,Glabbeek-Zuurbemde
3381,Kapellen
3384,Attenrode
3390,Tielt-Winge
3390,Tielt
3390,Sint-Joris-Winge
3390,Houwaart
3391,Meensel-Kiezegem
3400,Landen
3400,Laar
3400,Ezemaal
3400,Eliksem
3400,Wange
3400,Neerwinden
3400,Overwinden
3400,Rumsdorp
3401,Waasmont
3401,Walsbets
3401,Walshoutem
3401,Wezeren
3404,Attenhoven
3404,Neerlanden
3440,Zoutleeuw
3440,Budingen
3440,Halle-Booienhoven
3440,Dormaal
3440,Helen-Bos
3450,Geetbets
3450,Grazen
3454,Rummen
3460,Bekkevoort
3460,Assent
3461,Molenbeek-Wersbeek
3470,Kortenaken
3470,Ransberg
3471,Hoeleden
3472,Kersbeek-Miskom
3473,Waanrode
3500,Hasselt
3500,Sint-Lambrechts-Herk
3501,Wimmertingen
3510,Kermt
3510,Spalbeek
3511,Kuringen
3511,Stokrooie
3512,Stevoort
3520,Zonhoven
3530,Houthalen-Helchteren
3530,Houthalen
3530,Helchteren
3540,Herk-de-Stad
3540,Schulen
3540,Berbroek
3540,Donk
3545,Halen
3545,Zelem
3545,Loksbergen
3550,Heusden-Zolder
3550,Zolder
3560,Lummen
3560,Linkhout
3560,Meldert
3570,Alken
3580,Beringen
3581,Beverlo
3582,Koersel
3582,Stal
3590,Diepenbeek
3593,Paal
3600,Genk
3620,Lanaken
3620,Gellik
3620,Veldwezelt
3620,Neerharen
3621,Rekem
3630,Maasmechelen
3630,Mechelen-aan-de-Maas
3630,Eisden
3630,Opgrimbie
3630,Vucht
3630,Leut
3630,Meeswijk
3631,Boorsem
3631,Uikhoven
3640,Kinrooi
3640,Molenbeersel
3640,Ophoven
3640,Kessenich
3650,Dilsen-Stokkem
3650,Dilsen
3650,Lanklaar
3650,Rotem
3650,Stokkem
3650,Elen
3660,Opglabbeek
3665,As
3668,Niel-bij-As
3670,Oudsbergen
3670,Meeuwen
3670,Gruitrode
3670,Wijshagen
3670,Ellikom
3670,Neerglabbeek
3680,Maaseik
3680,Neeroeteren
3680,Opoeteren
3690,Zutendaal
3700,Tongeren
3700,Koninksem
3700,Vreren
3700,Berg
3700,Lauw
3700,Mal
3700,Riksingen
3700,Henis
3700,Nerem
3700,Piringen
3700,Rutten
3700,Sluizen
3700,Overrepen
3700,s Herenelderen
3700,Diets-Heur
3700,Widooie
3700,Neerrepen
3717,Herstappe
3720,Kortessem
3721,Vliermaalroot
3722,Wintershoven
3723,Guigoven
3724,Vliermaal
3730,Hoeselt
3730,Sint-Huibrechts-Hern
3730,Romershoven
3730,Werm
3732,Schalkhoven
3740,Bilzen
3740,Beverst
3740,Munsterbilzen
3740,Eigenbilzen
3740,Grote-Spouwen
3740,Kleine-Spouwen
3740,Mopertingen
3740,Rijkhoven
3740,Waltwilder
3740,Hees
3740,Rosmeer
3742,Martenslinde
3746,Hoelbeek
3770,Riemst
3770,Vlijtingen
3770,Zichen-Zussen-Bolder
3770,Herderen
3770,Millen
3770,Val-Meer
3770,Vroenhoven
3770,Kanne
3770,Membruggen
3770,Genoelselderen
3790,Voeren
3790,s-Gravenvoeren
3790,Moelingen
3790,Sint-Martens-Voeren
3790,Teuven
3790,Remersdaal
3790,Sint-Pieters-Voeren
3800,Sint-Truiden
3800,Brustem
3800,Zepperen
3800,Gelinden
3800,Ordingen
3800,Aalst
3800,Groot-Gelmen
3800,Kerkom-bij-Sint-Truiden
3800,Engelmanshoven
3800,Halmaal
3803,Wilderen
3803,Duras
3803,Gorsem
3803,Runkelen
3806,Velm
3830,Wellen
3830,Berlingen
3831,Herten
3832,Ulbeek
3840,Borgloon
3840,Hoepertingen
3840,Bommershoven
3840,Jesseren
3840,Kerniel
3840,Rijkel
3840,Broekom
3840,Gors-Opleeuw
3840,Gotem
3840,Hendrieken
3840,Voort
3840,Groot-Loon
3840,Kuttekoven
3850,Nieuwerkerken
3850,Kozen
3850,Wijer
3850,Binderveld
3870,Heers
3870,Mechelen-Bovelingen
3870,Vechmaal
3870,Horpmaal
3870,Klein-Gelmen
3870,Rukkelingen-Loon
3870,Veulen
3870,Gutschoven
3870,Heks
3870,Mettekoven
3870,Batsheers
3870,Opheers
3890,Gingelom
3890,Jeuk
3890,Montenaken
3890,Niel-bij-Sint-Truiden
3890,Boekhout
3890,Kortijs
3890,Vorsen
3891,Mielen-boven-Aalst
3891,Borlo
3891,Buvingen
3891,Muizen
3900,Pelt
3900,Overpelt
3910,Neerpelt
3910,Sint-Huibrechts-Lille
3920,Lommel
3930,Hamont-Achel
3930,Hamont
3930,Achel
3940,Hechtel-Eksel
3940,Hechtel
3941,Eksel
3945,Ham
3945,Oostham
3950,Bocholt
3950,Kaulille
3950,Reppel
3960,Bree
3960,Gerdingen
3960,Opitter
3960,Tongerlo
3960,Beek
3970,Leopoldsburg
3971,Heppen
3980,Tessenderlo
3990,Peer
3990,Grote-Brogel
3990,Wijchmaal
3990,Kleine-Brogel
8000,Brugge
8000,Koolkerke
8020,Oostkamp
8020,Ruddervoorde
8020,Hertsberge
8020,Waardamme
8200,Sint-Andries
8200,Sint-Michiels
8210,Zedelgem
8210,Loppem
8210,Veldegem
8211,Aartrijke
8300,Knokke-Heist
8300,Knokke
8300,Westkapelle
8301,Heist
8301,Ramskapelle
8310,Assebroek
8310,Sint-Kruis
8340,Damme
8340,Sijsele
8340,Moerkerke
8340,Oostkerke
8340,Lapscheure
8340,Hoeke
8370,Blankenberge
8370,Uitkerke
8377,Zuienkerke
8377,Nieuwmunster
8377,Meetkerke
8377,Houtave
8380,Lissewege
8380,Zeebrugge
8380,Dudzele
8400,Oostende
8400,Stene
8400,Zandvoorde
8420,De Haan
8420,Klemskerke
8420,Wenduine
8421,Vlissegem
8430,Middelkerke
8431,Wilskerke
8432,Leffinge
8433,Slijpe
8433,Schore
8433,Sint-Pieters-Kapelle
8434,Westende
8434,Lombardsijde
8450,Bredene
8460,Oudenburg
8460,Ettelgem
8460,Westkerke
8460,Roksem
8470,Gistel
8470,Moere
8470,Snaaskerke
8470,Zevekote
8480,Ichtegem
8480,Eernegem
8480,Bekegem
8490,Jabbeke
8490,Varsenare
8490,Snellegem
8490,Zerkegem
8490,Stalhille
8500,Kortrijk
8501,Heule
8501,Bissegem
8510,Marke
8510,Bellegem
8510,Rollegem
8510,Kooigem
8511,Aalbeke
8520,Kuurne
8530,Harelbeke
8531,Bavikhove
8531,Hulste
8540,Deerlijk
8550,Zwevegem
8551,Heestert
8552,Moen
8553,Otegem
8554,Sint-Denijs
8560,Wevelgem
8560,Gullegem
8560,Moorsele
8570,Anzegem
8570,Vichte
8570,Ingooigem
8570,Gijzelbrechtegem
8572,Kaster
8573,Tiegem
8580,Avelgem
8581,Kerkhove
8581,Waarmaarde
8582,Outrijve
8583,Bossuit
8587,Spiere-Helkijn
8587,Spiere
8587,Helkijn
8600,Diksmuide
8600,Esen
8600,Beerst
8600,Keiem
8600,Leke
8600,Vladslo
8600,Woumen
8600,Pervijze
8600,Kaaskerke
8600,Nieuwkapelle
8600,Oostkerke
8600,Lampernisse
8600,Stuivekenskerke
8600,Oudekapelle
8600,Sint-Jacobs-Kapelle
8610,Kortemark
8610,Handzame
8610,Zarren
8610,Werken
8620,Nieuwpoort
8620,Ramskapelle
8620,Sint-Joris
8630,Veurne
8630,Bulskamp
8630,Houtem
8630,Steenkerke
8630,Avekapelle
8630,Vinkem
8630,Wulveringem
8630,Eggewaartskapelle
8630,Booitshoeke
8630,De Moeren
8630,Zoutenaaie
8640,Vleteren
8640,Oostvleteren
8640,Westvleteren
8640,Woesten
8647,Lo-Reninge
8647,Lo
8647,Reninge
8647,Pollinkhove
8647,Noordschote
8650,Houthulst
8650,Klerken
8650,Merkem
8660,De Panne
8660,Adinkerke
8670,Koksijde
8670,Oostduinkerke
8670,Wulpen
8680,Koekelare
8680,Bovekerke
8680,Zande
8690,Alveringem
8690,Hoogstade
8690,Oeren
8690,Sint-Rijkers
8691,Leisele
8691,Beveren
8691,Stavele
8691,Izenberge
8691,Gijverinkhove
8700,Tielt (stad)
8700,Aarsele
8700,Kanegem
8700,Schuiferskapelle
8710,Wielsbeke
8710,Ooigem
8710,Sint-Baafs-Vijve
8720,Dentergem
8720,Wakken
8720,Oeselgem
8720,Markegem
8730,Beernem
8730,Oedelem
8730,Sint-Joris (deelgemeente)
8740,Pittem
8740,Egem
8750,Wingene
8750,Zwevezele
8755,Ruiselede
8760,Meulebeke
8770,Ingelmunster
8780,Oostrozebeke
8790,Waregem
8791,Beveren
8792,Desselgem
8793,Sint-Eloois-Vijve
8800,Roeselare
8800,Rumbeke
8800,Beveren
8800,Oekene
8810,Lichtervelde
8820,Torhout
8830,Hooglede
8830,Gits
8840,Staden
8840,Oostnieuwkerke
8840,Westrozebeke
8850,Ardooie
8851,Koolskamp
8860,Lendelede
8870,Izegem
8870,Emelgem
8870,Kachtem
8880,Ledegem
8880,Sint-Eloois-Winkel
8880,Rollegem-Kapelle
8890,Moorslede
8890,Dadizele
8900,Ieper
8900,Dikkebus
8900,Sint-Jan
8900,Brielen
8902,Zillebeke
8902,Voormezele
8902,Hollebeke
8904,Boezinge
8904,Zuidschote
8906,Elverdinge
8908,Vlamertinge
8920,Langemark-Poelkapelle
8920,Langemark
8920,Poelkapelle
8920,Bikschote
8930,Menen
8930,Lauwe
8930,Rekkem
8940,Wervik
8940,Geluwe
8950,Heuvelland
8950,Nieuwkerke
8951,Dranouter
8952,Wulvergem
8953,Wijtschate
8954,Westouter
8956,Kemmel
8957,Mesen
8958,Loker
8970,Poperinge
8970,Reningelst
8972,Proven
8972,Roesbrugge-Haringe
8972,Krombeke
8978,Watou
8980,Zonnebeke
8980,Beselare
8980,Passendale
8980,Geluveld
8980,Zandvoorde
9000,Gent
9030,Mariakerke
9031,Drongen
9032,Wondelgem
9040,Sint-Amandsberg
9041,Oostakker
9042,Sint-Kruis-Winkel
9042,Desteldonk
9042,Mendonk
9050,Gentbrugge
9050,Ledeberg
9051,Sint-Denijs-Westrem
9051,Afsnee
9052,Zwijnaarde
9060,Zelzate
9070,Destelbergen
9070,Heusden
9080,Lochristi
9080,Beervelde
9080,Zaffelare
9080,Zeveneken
9090,Melle
9090,Gontrode
9100,Sint-Niklaas
9100,Nieuwkerken-Waas
9111,Belsele
9112,Sinaai
9120,Beveren
9120,Melsele
9120,Haasdonk
9120,Vrasene
9120,Kallo
9130,Kieldrecht
9130,Verrebroek
9130,Doel
9140,Temse
9140,Tielrode
9140,Steendorp
9140,Elversele
9150,Kruibeke
9150,Bazel
9150,Rupelmonde
9160,Lokeren
9160,Eksaarde
9160,Daknam
9170,Sint-Gillis-Waas
9170,Sint-Pauwels
9170,De Klinge
9170,Meerdonk
9185,Wachtebeke
9190,Stekene
9190,Kemzeke
9200,Dendermonde
9200,Sint-Gillis-bij-Dendermonde
9200,Grembergen
9200,Baasrode
9200,Oudegem
9200,Appels
9200,Schoonaarde
9200,Mespelare
9220,Hamme
9220,Moerzeke
9230,Wetteren
9230,Massemen
9230,Westrem
9240,Zele
9250,Waasmunster
9255,Buggenhout
9255,Opdorp
9260,Wichelen
9260,Schellebelle
9260,Serskamp
9270,Laarne
9270,Kalken
9280,Lebbeke
9280,Denderbelle
9280,Wieze
9290,Berlare
9290,Overmere
9290,Uitbergen
9300,Aalst
9308,Hofstade
9308,Gijzegem
9310,Moorsel
9310,Herdersem
9310,Meldert
9310,Baardegem
9320,Erembodegem
9320,Nieuwerkerken
9340,Lede
9340,Oordegem
9340,Impe
9340,Smetlede
9340,Wanzele
9400,Ninove
9400,Denderwindeke
9400,Appelterre-Eichem
9400,Okegem
9400,Nederhasselt
9400,Voorde
9400,Lieferinge
9401,Pollare
9402,Meerbeke
9403,Neigem
9404,Aspelare
9406,Outer
9420,Erpe-Mere
9420,Erpe
9420,Mere
9420,Burst
9420,Aaigem
9420,Bambrugge
9420,Erondegem
9420,Ottergem
9420,Vlekkem
9433,Mannekensvere
9450,Haaltert
9450,Denderhoutem
9450,Heldergem
9451,Kerksken
9470,Denderleeuw
9472,Iddergem
9473,Welle
9500,Geraardsbergen
9500,Moerbeke
9500,Overboelare
9500,Goeferdinge
9500,Moerbeke
9500,Onkerzele
9500,Ophasselt
9500,Viane
9500,Nederboelare
9500,Zarlardinge
9506,Idegem
9506,Schendelbeke
9506,Zandbergen
9506,Grimminge
9506,Smeerebbe-Vloerzegem
9506,Nieuwenhove
9506,Waarbeke
9520,Sint-Lievens-Houtem
9520,Vlierzele
9520,Bavegem
9520,Zonnegem
9521,Letterhoutem
9550,Herzele
9550,Hillegem
9550,Sint-Lievens-Esse
9550,Steenhuize-Wijnhuize
9550,Woubrechtegem
9550,Sint-Antelinks
9551,Ressegem
9552,Borsbeke
9570,Lierde
9570,Deftinge
9570,Sint-Maria-Lierde
9571,Hemelveerdegem
9572,Sint-Martens-Lierde
9600,Ronse
9620,Zottegem
9620,Strijpen
9620,Erwetegem
9620,Velzeke-Ruddershove
9620,Sint-Maria-Oudenhove
9620,Elene
9620,Godveerdegem
9620,Grotenberge
9620,Leeuwergem
9620,Sint-Goriks-Oudenhove
9620,Oombergen
9630,Zwalm
9630,Munkzwalm
9630,Roborst
9630,Sint-Denijs-Boekel
9630,Hundelgem
9630,Sint-Blasius-Boekel
9630,Sint-Maria-Latem
9630,Rozebeke
9630,Beerlegem
9630,Meilegem
9630,Dikkele
9630,Paulatem
9636,Nederzwalm-Hermelgem
9660,Brakel
9660,Nederbrakel
9660,Everbeek
9660,Opbrakel
9660,Elst
9660,Zegelsem
9660,Michelbeke
9661,Parike
9667,Horebeke
9667,Sint-Maria-Horebeke
9667,Sint-Kornelis-Horebeke
9680,Maarkedal
9680,Etikhove
9680,Maarke-Kerkem
9681,Nukerke
9688,Schorisse
9690,Kluisbergen
9690,Ruien
9690,Berchem
9690,Zulzeke
9690,Kwaremont
9700,Oudenaarde
9700,Eine
9700,Bevere
9700,Ename
9700,Edelare
9700,Leupegem
9700,Mater
9700,Nederename
9700,Heurne
9700,Volkegem
9700,Welden
9700,Melden
9700,Mullem
9750,Kruisem
9750,Zingem
9750,Huise
9750,Ouwegem
9770,Kruishoutem
9771,Nokere
9772,Wannegem-Lede
9790,Wortegem-Petegem
9790,Petegem-aan-de-Schelde
9790,Wortegem
9790,Elsegem
9790,Ooike
9790,Moregem
9800,Deinze
9800,Petegem-aan-de-Leie
9800,Astene
9800,Bachte-Maria-Leerne
9800,Vinkt
9800,Wontergem
9800,Grammene
9800,Zeveren
9800,Meigem
9800,Gottem
9810,Nazareth
9810,Eke
9820,Merelbeke
9820,Bottelare
9820,Melsen
9820,Schelderode
9820,Lemberge
9820,Munte
9830,Sint-Martens-Latem
9830,Sint-Martens-Leerne
9831,Deurle
9840,De Pinte
9840,Zevergem
9850,Nevele
9850,Landegem
9850,Hansbeke
9850,Merendree
9850,Vosselare
9850,Poesele
9860,Oosterzele
9860,Balegem
9860,Scheldewindeke
9860,Gijzenzele
9860,Moortsele
9860,Landskouter
9870,Zulte
9870,Machelen (deelgemeente)
9870,Olsene
9880,Aalter
9880,Lotenhulle
9880,Poeke
9881,Bellem
9890,Gavere
9890,Asper
9890,Dikkelvenne
9890,Semmerzake
9890,Vurste
9890,Baaigem
9900,Eeklo
9910,Knesselare
9910,Ursel
9920,Lievegem
9920,Lovendegem
9921,Vinderhoute
9930,Zomergem
9931,Oostwinkel
9932,Ronsele
9940,Evergem
9940,Ertvelde
9940,Sleidinge
9940,Kluizen
9950,Waarschoot
9960,Assenede
9961,Boekhoute
9968,Bassevelde
9968,Oosteeklo
9970,Kaprijke
9971,Lembeke
9980,Sint-Laureins
9981,Sint-Margriete
9982,Sint-Jan-in-Eremo
9988,Watervliet
9988,Waterland-Oudeman
9990,Maldegem
9991,Adegem
9992,Middelburg
